Sector,Mean_PE,Std_PE,Min_PE,Max_PE,Minus2SD_PE,Minus1SD_PE,Plus1SD_PE,Plus2SD_PE,Mean_ROE,ROE_Base_2021,ROE_Current_2026,ROE_Change
AGRI,72.41572916666667,677.0178202481061,4.33,9360.57,-1281.6199113295456,-604.6020910814394,749.4335494147728,1426.4513696628787,9.721384615384617,24.67,,
AGRO,97.17662921348314,244.58245448269875,17.75,1590.14,-391.9882797519144,-147.4058252692156,341.7590836961819,586.3415381788807,3.8175555555555554,4.61,,
AUTO,16.137268041237114,7.497671711856028,7.31,48.89,1.1419246175250581,8.639596329381085,23.634939753093143,31.13261146494917,8.654000000000002,8.47,,
BANK,10.545909090909092,2.398583958697717,5.51,15.9,5.7487411735136575,8.147325132211375,12.944493049606809,15.343077008304526,11.117384615384617,7.68,,
COMM,28.89388888888889,6.56298948594829,14.95,48.87,15.76790991699231,22.3308994029406,35.456878374837174,42.01986786078547,15.242769230769232,9.02,,
CONMAT,14.96868686868687,3.2978496751870394,8.71,26.5,8.37298751831279,11.67083719349983,18.266536543873908,21.56438621906095,13.582923076923077,13.5,,
CONS,82.910390625,121.28719720948632,10.45,741.26,-159.66400379397265,-38.37680658448632,204.19758783448634,325.48478504397264,3.3648979591836725,1.97,,
CONSUMP,35.54782608695652,25.103093325518262,14.34,189.4,-14.658360564080006,10.444732761438257,60.65091941247478,85.75401273799304,9.898888888888889,21.33,,
ENERG,16.07902564102564,8.48611847535077,7.43,46.69,-0.8932113096758982,7.5929071656748715,24.56514411637641,33.05126259172718,11.063846153846153,11.38,,
ETRON,33.06560606060606,28.20192792103606,6.48,141.92,-23.33824978146606,4.863678139569998,61.26753398164212,89.46946190267818,13.806769230769229,12.38,,
FASHION,47.703505154639174,142.31901416840915,8.12,1495.33,-236.93452318217913,-94.61550901376998,190.02251932304833,332.3415334914575,4.398307692307693,4.76,,
FIN,17.477777777777778,4.608897608825859,6.99,30.95,8.25998256012606,12.868880168951918,22.086675386603638,26.695572995429494,12.795384615384613,14.73,,
FINCIAL,58.138617021276595,49.28906141819054,15.77,238.8,-40.43950581510449,8.849555603086053,107.42767843946714,156.71673985765767,4.369999999999999,2.77,,
FOOD,23.366414141414143,14.440840659550252,9.48,114.58,-5.515267177686361,8.925573481863891,37.807254800964394,52.24809546051465,11.743384615384615,5.41,,
HELTH,30.435000000000002,9.392868001273099,13.74,65.23,11.649263997453804,21.0421319987269,39.8278680012731,49.220736002546204,16.248461538461537,17.86,,
HOME,27.997636363636367,29.247446269402676,6.47,163.69,-30.497256175168985,-1.249809905766309,57.24508263303905,86.49252890244172,5.320923076923077,1.5,,
ICT,24.844848484848484,7.226429897481955,11.29,53.67,10.391988689884574,17.618418587366527,32.07127838233044,39.2977082798124,21.94076923076923,15.14,,
IMM,24.611890243902437,23.97722361394827,6.71,192.67,-23.3425569839941,0.6346666299541681,48.589113857850705,72.56633747179897,4.966153846153847,10.42,,
INDUS,27.789565217391306,9.001543328304102,11.58,67.2,9.786478560783102,18.788021889087204,36.79110854569541,45.79265187399951,6.51711111111111,6.69,,
INSUR,24.32128491620111,42.56460179383575,7.9,280.86,-60.80791867147039,-18.243316877634637,66.88588671003686,109.4504885038726,8.762923076923077,0.59,,
MAIIND,39.04535714285714,18.51091699554274,19.87,78.3,2.0235231517716628,20.534440147314402,57.556274138399885,76.06719113394263,11.224499999999997,,6.79,
MEDIA,376.58872340425535,2327.373850133865,15.15,25222.95,-4278.158976863474,-1950.7851267296096,2703.96257353812,5031.336423671985,7.990615384615385,6.66,,
MEDSIZE,28.249499999999998,16.19626797617069,15.61,78.3,-4.1430359523413856,12.053232023829306,44.445767976170686,60.64203595234138,11.224499999999997,,6.79,
MINE,19.3381690140845,24.993821997209007,5.44,147.45,-30.649474980333515,-5.655652983124508,44.33199101129351,69.32581300850251,-2.4227777777777777,-16.76,,
PAPER,13.994292929292929,5.45245860392011,5.2,34.12,3.089375721452708,8.541834325372818,19.44675153321304,24.89921013713315,15.84153846153846,25.08,,
PERSON,18.685353535353535,9.886223230984392,3.57,86.92,-1.0870929266152487,8.799130304369143,28.571576766337927,38.45779999732232,12.853384615384615,47.1,,
PETRO,34.53098159509203,119.82948008132803,6.3,918.99,-205.127978567564,-85.298498486236,154.36046167642007,274.1899417577481,8.543076923076924,16.47,,
PF&REIT,,,,,,,,,,,,
PKG,19.158686868686868,9.55268938095787,3.93,67.3,0.05330810677112652,9.605997487728997,28.711376249644736,38.26406563060261,9.959076923076923,10.06,,
PROF,51.6525316455696,46.907931559934255,6.49,254.73,-42.16333147429891,4.744600085635348,98.56046320550385,145.46839476543812,3.8712307692307704,3.99,,
PROP,16.779444444444444,3.953103926569389,9.5,31.17,8.873236591305666,12.826340517875055,20.732548371013834,24.68565229758322,9.952461538461538,6.13,,
PROPCON,321.7255844155844,1044.4530175980726,21.74,6188.62,-1767.180450780561,-722.7274331824882,1366.178602013657,2410.6316196117295,1.2162222222222223,-2.75,,
RESOURC,52.448571428571434,51.94798341444129,4.1,340.2,-51.447395400311144,0.5005880141301446,104.39655484301272,156.34453825745402,2.4657777777777783,-2.11,,
SERVICE,131.84317757009347,279.23967118817393,12.76,1611.67,-426.6361648062544,-147.39649361808046,411.0828487582674,690.3225199464414,3.261111111111111,13.44,,
STEEL,44.93896551724138,71.05519798237549,4.7,327.64,-97.17143044750961,-26.11623246513411,115.99416349961686,187.04936148199235,-5.307213114754098,20.29,,
TECH,59.196999999999996,67.16343522567269,14.58,371.41,-75.12987045134537,-7.96643522567269,126.36043522567269,193.52387045134537,4.055111111111113,17.69,,
TOURISM,67.16148648648648,386.61763998658375,9.98,4726.15,-706.073793486681,-319.4561535000973,453.7791264730702,840.396766459654,2.780615384615385,-12.29,,
TRANS,88.04298245614035,118.12139457999648,10.0,720.01,-148.1998067038526,-30.078412123856126,206.16437703613684,324.2857716161333,4.783538461538462,24.44,,
